ID;NAME;STATUS;PREFIXES AS URL;PREFIXES AS LRU;HOME PAGE;START PAGES;CRAWLED;CRAWLING STATUS;INDEXING STATUS;INDEGREE;OUTDEGREE;NEIGHBOORS COUNT;TOTAL KNOWN PAGES;CRAWLED PAGES;CREATION TIMESTAMP;CREATION DATE;LAST MODIFICATION TIMESTAMP;LAST MODIFICATION DATE;Press (TAGS);HigherEd (TAGS);National Orgs (TAGS);AfroLatinAmericanWeb (TAGS);Arts&Entertainement (TAGS);Latin American Web (TAGS);AfricanWeb (TAGS);AfricanAmericanWeb (TAGS);Web Commons (TAGS);other (TAGS);createdBy (TECHNICAL INFO);mergedWebEntities (TECHNICAL INFO);recrawlNeeded (TECHNICAL INFO)
104;Miaminewtimes.com;IN;http://miaminewtimes.com http://www.miaminewtimes.com https://miaminewtimes.com https://www.miaminewtimes.com;s:https|h:com|h:miaminewtimes| s:https|h:com|h:miaminewtimes|h:www| s:http|h:com|h:miaminewtimes| s:http|h:com|h:miaminewtimes|h:www|;http://www.miaminewtimes.com;;FALSE;UNCRAWLED;UNINDEXED;1;0;1;14;0;1,57E+12;2019-10-30T14:03:58.740Z;1,57E+12;2019-11-13T13:11:56.968Z;press;;;;;;;;;;;;
106;Lahabanaenclavedesol.blogspot.com;IN;http://lahabanaenclavedesol.blogspot.com http://www.lahabanaenclavedesol.blogspot.com https://lahabanaenclavedesol.blogspot.com https://www.lahabanaenclavedesol.blogspot.com;s:https|h:blogspot.com|h:lahabanaenclavedesol| s:https|h:blogspot.com|h:lahabanaenclavedesol|h:www| s:http|h:blogspot.com|h:lahabanaenclavedesol| s:http|h:blogspot.com|h:lahabanaenclavedesol|h:www|;http://www.lahabanaenclavedesol.blogspot.com;;FALSE;UNCRAWLED;UNINDEXED;1;0;1;4;0;1,57E+12;2019-10-30T14:03:58.740Z;1,57E+12;2019-11-08T13:43:42.868Z;;;;blog;;;;;;;;;
107;Independent.co.uk;IN;http://independent.co.uk http://www.independent.co.uk https://independent.co.uk https://www.independent.co.uk;s:https|h:co.uk|h:independent| s:https|h:co.uk|h:independent|h:www| s:http|h:co.uk|h:independent| s:http|h:co.uk|h:independent|h:www|;http://www.independent.co.uk;;FALSE;UNCRAWLED;UNINDEXED;1;0;1;2;0;1,57E+12;2019-10-30T14:03:58.740Z;1,57E+12;2019-11-13T13:11:57.002Z;press;;;;;;;;;;;;
108;Cubaheadlines.com;IN;http://cubaheadlines.com http://www.cubaheadlines.com https://cubaheadlines.com https://www.cubaheadlines.com;s:https|h:com|h:cubaheadlines| s:https|h:com|h:cubaheadlines|h:www| s:http|h:com|h:cubaheadlines| s:http|h:com|h:cubaheadlines|h:www|;http://www.cubaheadlines.com/roble_de_olor_a_cuban_film_recieves_an_award.html;;FALSE;UNCRAWLED;UNINDEXED;1;0;1;3;0;1,57E+12;2019-10-30T14:03:58.740Z;1,57E+12;2019-11-13T13:11:56.955Z;press;;;;;;;;;;;;
110;Cubahora.cu;IN;http://cubahora.cu http://www.cubahora.cu https://cubahora.cu https://www.cubahora.cu;s:https|h:cu|h:cubahora| s:https|h:cu|h:cubahora|h:www| s:http|h:cu|h:cubahora| s:http|h:cu|h:cubahora|h:www|;http://www.cubahora.cu;;FALSE;UNCRAWLED;UNINDEXED;1;0;1;8;0;1,57E+12;2019-10-30T14:03:58.740Z;1,57E+12;2019-11-07T15:07:28.628Z;press;;;;;;;;;;;;
112;Aquibejucal.blogspot.com;IN;http://aquibejucal.blogspot.com http://www.aquibejucal.blogspot.com https://aquibejucal.blogspot.com https://www.aquibejucal.blogspot.com;s:https|h:blogspot.com|h:aquibejucal| s:https|h:blogspot.com|h:aquibejucal|h:www| s:http|h:blogspot.com|h:aquibejucal| s:http|h:blogspot.com|h:aquibejucal|h:www|;http://www.aquibejucal.blogspot.com;;FALSE;UNCRAWLED;UNINDEXED;1;0;1;1;0;1,57E+12;2019-10-30T14:03:58.740Z;1,57E+12;2019-11-07T15:54:19.969Z;blogs;;;;;;;;;;;;
113;Diariodecuba.com;IN;http://diariodecuba.com http://www.diariodecuba.com https://diariodecuba.com https://www.diariodecuba.com;s:https|h:com|h:diariodecuba| s:https|h:com|h:diariodecuba|h:www| s:http|h:com|h:diariodecuba| s:http|h:com|h:diariodecuba|h:www|;http://www.diariodecuba.com;;FALSE;UNCRAWLED;UNINDEXED;3;0;3;42;0;1,57E+12;2019-10-30T14:03:58.740Z;1,57E+12;2019-11-08T17:10:17.389Z;press;;;;;;;;;;;;
116;Laprensa.com.ni;IN;http://laprensa.com.ni http://www.laprensa.com.ni https://laprensa.com.ni https://www.laprensa.com.ni;s:https|h:com.ni|h:laprensa| s:https|h:com.ni|h:laprensa|h:www| s:http|h:com.ni|h:laprensa| s:http|h:com.ni|h:laprensa|h:www|;http://www.laprensa.com.ni;;FALSE;UNCRAWLED;UNINDEXED;1;0;1;1;0;1,57E+12;2019-10-30T14:03:58.741Z;1,57E+12;2019-11-08T17:14:14.777Z;press;;;;;;;;;;;;
118;Okayafrica.com;IN;http://okayafrica.com http://www.okayafrica.com https://okayafrica.com https://www.okayafrica.com;s:https|h:com|h:okayafrica| s:https|h:com|h:okayafrica|h:www| s:http|h:com|h:okayafrica| s:http|h:com|h:okayafrica|h:www|;http://www.okayafrica.com;;FALSE;UNCRAWLED;UNINDEXED;2;0;2;11;0;1,57E+12;2019-10-30T14:03:58.741Z;1,57E+12;2019-11-13T13:11:56.973Z;press;;;;;;;;;;;;
119;Cafefuerte.com;IN;http://cafefuerte.com http://www.cafefuerte.com https://cafefuerte.com https://www.cafefuerte.com;s:https|h:com|h:cafefuerte| s:https|h:com|h:cafefuerte|h:www| s:http|h:com|h:cafefuerte| s:http|h:com|h:cafefuerte|h:www|;http://www.cafefuerte.com;;FALSE;UNCRAWLED;UNINDEXED;1;0;1;2;0;1,57E+12;2019-10-30T14:03:58.741Z;1,57E+12;2019-11-13T13:31:23.439Z;press;;human rights orgs;;;;;;;;;;
120;Worldpolicy.org;IN;http://worldpolicy.org http://www.worldpolicy.org https://worldpolicy.org https://www.worldpolicy.org;s:https|h:org|h:worldpolicy| s:https|h:org|h:worldpolicy|h:www| s:http|h:org|h:worldpolicy| s:http|h:org|h:worldpolicy|h:www|;http://www.worldpolicy.org;;FALSE;UNCRAWLED;UNINDEXED;1;0;1;3;0;1,57E+12;2019-10-30T14:03:58.741Z;1,57E+12;2019-11-14T14:44:07.078Z;press;;;;;;;;;;;;
121;Washingtontimes.com;IN;http://washingtontimes.com http://www.washingtontimes.com https://washingtontimes.com https://www.washingtontimes.com;s:https|h:com|h:washingtontimes| s:https|h:com|h:washingtontimes|h:www| s:http|h:com|h:washingtontimes| s:http|h:com|h:washingtontimes|h:www|;http://www.washingtontimes.com;;FALSE;UNCRAWLED;UNINDEXED;1;0;1;3;0;1,57E+12;2019-10-30T14:03:58.741Z;1,57E+12;2019-11-08T17:18:11.726Z;press;;;;;;;;;;;;
123;Tumiamiblog.com;IN;http://tumiamiblog.com http://www.tumiamiblog.com https://tumiamiblog.com https://www.tumiamiblog.com;s:https|h:com|h:tumiamiblog| s:https|h:com|h:tumiamiblog|h:www| s:http|h:com|h:tumiamiblog| s:http|h:com|h:tumiamiblog|h:www|;http://www.tumiamiblog.com;;FALSE;UNCRAWLED;UNINDEXED;2;0;2;2;0;1,57E+12;2019-10-30T14:03:58.741Z;1,57E+12;2019-11-08T14:38:40.536Z;blogs;;;;;;;;;;;;
125;Telegraph.co.uk;IN;http://telegraph.co.uk http://www.telegraph.co.uk https://telegraph.co.uk https://www.telegraph.co.uk;s:https|h:co.uk|h:telegraph| s:https|h:co.uk|h:telegraph|h:www| s:http|h:co.uk|h:telegraph| s:http|h:co.uk|h:telegraph|h:www|;http://www.telegraph.co.uk;;FALSE;UNCRAWLED;UNINDEXED;1;0;1;1;0;1,57E+12;2019-10-30T14:03:58.741Z;1,57E+12;2019-11-08T17:17:09.298Z;press;;;;;;;;;;;;
126;Ife-Ile.org;IN;http://ife-ile.org http://www.ife-ile.org https://ife-ile.org https://www.ife-ile.org;s:https|h:org|h:ife-ile| s:https|h:org|h:ife-ile|h:www| s:http|h:org|h:ife-ile| s:http|h:org|h:ife-ile|h:www|;http://www.ife-ile.org/store.htm;;FALSE;UNCRAWLED;UNINDEXED;1;0;1;1;0;1,57E+12;2019-10-30T14:03:58.741Z;1,57E+12;2019-11-13T15:48:28.015Z;;;;;music & dance service & prod;;;;;;;;
137;Missouri.edu;IN;http://missouri.edu http://www.missouri.edu https://missouri.edu https://www.missouri.edu;s:https|h:edu|h:missouri| s:https|h:edu|h:missouri|h:www| s:http|h:edu|h:missouri| s:http|h:edu|h:missouri|h:www|;http://www.missouri.edu;;FALSE;UNCRAWLED;UNINDEXED;1;0;1;2;0;1,57E+12;2019-10-30T14:04:00.207Z;1,57E+12;2019-11-07T14:12:08.675Z;;edu;;;;;;;;;;;
140;Miami.edu;IN;http://miami.edu http://www.miami.edu https://miami.edu https://www.miami.edu;s:https|h:edu|h:miami| s:https|h:edu|h:miami|h:www| s:http|h:edu|h:miami| s:http|h:edu|h:miami|h:www|;http://www.miami.edu;;FALSE;UNCRAWLED;UNINDEXED;1;0;1;3;0;1,57E+12;2019-10-30T14:04:00.207Z;1,57E+12;2019-11-07T14:12:08.672Z;;edu;;;;;;;;;;;
144;Acsunuruguaynegro.blogspot.com;IN;http://acsunuruguaynegro.blogspot.com http://www.acsunuruguaynegro.blogspot.com https://acsunuruguaynegro.blogspot.com https://www.acsunuruguaynegro.blogspot.com;s:https|h:blogspot.com|h:acsunuruguaynegro| s:https|h:blogspot.com|h:acsunuruguaynegro|h:www| s:http|h:blogspot.com|h:acsunuruguaynegro| s:http|h:blogspot.com|h:acsunuruguaynegro|h:www|;http://www.acsunuruguaynegro.blogspot.com;;FALSE;UNCRAWLED;UNINDEXED;1;0;1;2;0;1,57E+12;2019-10-30T14:04:01.013Z;1,57E+12;2019-11-07T15:44:08.740Z;;;;blog;;;;;;;;;
