Repo Name,Title,Comments,URL,Date Created,Date Closed,State,Type,Days to Close
epiparameter,"Allow creating Poisson `<epidist>` with lambda parameter name",0,https://github.com/epiverse-trace/epiparameter/pull/209,2023-11-16T13:04:53Z,2023-11-17T13:02:26Z,closed,Pull Request,0
epiparameter,"Automate updating `sysdata` when database is updated or package is released",0,https://github.com/epiverse-trace/epiparameter/issues/208,2023-11-16T10:58:38Z,null,open,Issue,N/A
epiparameter,"Store and read parameter library as `sysdata`",1,https://github.com/epiverse-trace/epiparameter/pull/207,2023-11-15T17:41:55Z,2023-11-16T11:44:06Z,closed,Pull Request,0
epiparameter,"Remove data reading in `list_distributions()` ",0,https://github.com/epiverse-trace/epiparameter/pull/206,2023-11-15T14:55:54Z,2023-11-17T12:31:44Z,closed,Pull Request,1
epiparameter,"Remove {dplyr} from Suggests",2,https://github.com/epiverse-trace/epiparameter/pull/205,2023-11-14T19:08:51Z,2023-11-15T13:58:18Z,closed,Pull Request,0
epiparameter,"Add design principles vignette",0,https://github.com/epiverse-trace/epiparameter/pull/204,2023-11-14T18:43:21Z,2023-11-15T13:20:13Z,closed,Pull Request,0
epiparameter,"Reexport `cdf()` and `generate()` generics",0,https://github.com/epiverse-trace/epiparameter/pull/203,2023-11-13T17:20:25Z,2023-11-13T17:41:15Z,closed,Pull Request,0
epiparameter,"Enhance, delete or leave `<multi_epidist>`",0,https://github.com/epiverse-trace/epiparameter/issues/202,2023-11-13T14:12:36Z,null,open,Issue,N/A
epiparameter,"Vectorised filtering for list of `<epidist>`",0,https://github.com/epiverse-trace/epiparameter/issues/201,2023-11-13T13:04:14Z,null,open,Issue,N/A
epiparameter,"Improve method of reading parameters with `epidist_db()`",1,https://github.com/epiverse-trace/epiparameter/issues/200,2023-11-13T11:45:02Z,2023-11-16T11:43:45Z,closed,Issue,2
epiparameter,"Treat bundled database as any other `multi_epidist` object",1,https://github.com/epiverse-trace/epiparameter/issues/199,2023-10-16T09:56:10Z,2023-11-17T12:31:45Z,closed,Issue,32
epishiny,"Add tables",1,https://github.com/epiverse-trace/epishiny/issues/9,2023-09-20T13:45:27Z,null,open,Issue,N/A
epishiny,"Vignette for working with external data",0,https://github.com/epiverse-trace/epishiny/pull/8,2023-09-20T13:34:11Z,2023-09-21T07:26:38Z,closed,Pull Request,0
epishiny,"Add flexibility in visualisation, including external timeseries",2,https://github.com/epiverse-trace/epishiny/issues/7,2023-09-20T08:35:08Z,null,open,Issue,N/A
epishiny,"Document how to add new modules",2,https://github.com/epiverse-trace/epishiny/issues/6,2023-09-20T08:33:28Z,null,open,Issue,N/A
epishiny,"Document structure of app and interaction with analysis",3,https://github.com/epiverse-trace/epishiny/issues/5,2023-09-20T08:31:54Z,null,open,Issue,N/A
